ticker,name,div_per_share
1332.T,ニッスイ,30.0
1605.T,ＩＮＰＥＸ,116.1
1721.T,コムシスＨＬＤＧ,122.0
1801.T,大成建設,266.8
1802.T,大林組,86.3
1803.T,清水建設,61.2
1808.T,長谷工コーポレーション,92.0
1812.T,鹿島建設,135.4
1925.T,大和ハウス工業,175.9
1928.T,積水ハウス,149.0
1963.T,日揮ＨＬＤＧ,39.9
2002.T,日清製粉グループ本社,59.9
2269.T,明治ＨＬＤＧ,105.3
2282.T,日本ハム,159.2
2413.T,エムスリー,23.5
2432.T,ディー・エヌ・エー,41.2
2501.T,サッポロＨＬＤＧ,23.9
2502.T,アサヒグループＨＬＤＧ,50.9
2503.T,キリンＨＬＤＧ,80.4
2768.T,双日,165.1
2801.T,キッコーマン,25.5
2802.T,味の素,48.0
2871.T,ニチレイ,47.0
2914.T,日本たばこ産業,255.5
3086.T,Ｊ．フロント　リテイリング,53.9
3092.T,ＺＯＺＯ,39.2
3099.T,三越伊勢丹ＨＬＤＧ,66.6
3289.T,東急不動産ＨＬＤＧ,44.8
3382.T,セブン＆アイＨＬＤＧ,50.6
3401.T,帝人,50.0
3402.T,東レ,20.5
3405.T,クラレ,60.0
3407.T,旭化成,40.4
3436.T,ＳＵＭＣＯ,20.0
3659.T,ネクソン,58.3
3697.T,ＳＨＩＦＴ,0.0
3861.T,王子ＨＬＤＧ,36.0
4004.T,レゾナック・ＨＬＤＧ,69.5
4005.T,住友化学,12.6
4021.T,日産化学,186.1
4042.T,東ソー,100.3
4043.T,トクヤマ,122.5
4061.T,デンカ,100.0
4062.T,イビデン,25.6
4063.T,信越化学工業,108.3
4151.T,協和キリン,67.2
4183.T,三井化学,74.9
4188.T,三菱ケミカルグループ,32.2
4208.T,ＵＢＥ,110.1
4307.T,野村総合研究所,74.6
4324.T,電通グループ,99.4
4385.T,メルカリ,0.0
4452.T,花王,156.4
4502.T,武田薬品工業,200.1
4503.T,アステラス製薬,78.8
4506.T,住友ファーマ,0.0
4507.T,塩野義製薬,65.7
4519.T,中外製薬,131.5
4523.T,エーザイ,161.0
4543.T,テルモ,29.8
4568.T,第一三共,79.0
4578.T,大塚ＨＬＤＧ,141.5
4661.T,オリエンタルランド,14.7
4689.T,ＬＩＮＥヤフー,7.0
4704.T,トレンドマイクロ,202.7
4751.T,サイバーエージェント,20.0
4755.T,楽天グループ,0.0
4901.T,富士フイルムＨＬＤＧ,70.7
4902.T,コニカミノルタ,10.0
4911.T,資生堂,57.6
5019.T,出光興産,37.0
5020.T,ＥＮＥＯＳ　ＨＬＤＧ,33.5
5101.T,横浜ゴム,203.8
5108.T,ブリヂストン,133.8
5201.T,ＡＧＣ,211.7
5214.T,日本電気硝子,159.5
5233.T,太平洋セメント,100.1
5301.T,東海カーボン,30.5
5332.T,ＴＯＴＯ,100.1
5333.T,日本碍子,75.9
5401.T,日本製鉄,24.8
5406.T,神戸製鋼所,80.0
5411.T,ＪＦＥＨＬＤＧ,81.7
5631.T,日本製鋼所,90.1
5706.T,三井金属,242.7
5711.T,三菱マテリアル,100.2
5713.T,住友金属鉱山,173.6
5714.T,ＤＯＷＡ　ＨＬＤＧ,248.5
5801.T,古河電気工業,158.8
5802.T,住友電気工業,129.3
5803.T,フジクラ,202.6
5831.T,しずおかＦＧ,77.8
6098.T,リクルートＨＬＤＧ,26.6
6103.T,オークマ,100.1
6113.T,アマダ,61.9
6146.T,ディスコ,466.2
6178.T,日本郵政,50.1
6273.T,ＳＭＣ,1005.5
6301.T,小松製作所,192.2
6302.T,住友重機械工業,135.2
6305.T,日立建機,178.7
6326.T,クボタ,54.4
6361.T,荏原製作所,68.0
6367.T,ダイキン工業,331.2
6471.T,日本精工,34.3
6472.T,ＮＴＮ,11.0
6473.T,ジェイテクト,60.0
6479.T,ミネベアミツミ,48.4
6501.T,日立製作所,49.0
6503.T,三菱電機,57.6
6504.T,富士電機,181.7
6506.T,安川電機,67.9
6526.T,ソシオネクスト,50.1
6532.T,ベイカレント,93.7
6645.T,オムロン,104.1
6674.T,ジーエスユアサコーポレーション,84.7
6701.T,日本電気,32.6
6702.T,富士通,38.1
6723.T,ルネサスエレクトロニクス,31.8
6724.T,セイコーエプソン,74.7
6752.T,パナソニック　ＨＬＤＧ,42.1
6753.T,シャープ,0.0
6758.T,ソニーグループ,24.9
6762.T,ＴＤＫ,32.3
6770.T,アルプスアルパイン,60.6
6841.T,横河電機,72.7
6857.T,アドバンテスト,74.3
6861.T,キーエンス,502.2
6902.T,デンソー,64.9
6920.T,レーザーテック,315.8
6952.T,カシオ計算機,45.2
6954.T,ファナック,104.5
6963.T,ローム,50.1
6971.T,京セラ,50.6
6976.T,太陽誘電,90.1
6981.T,村田製作所,60.3
6988.T,日東電工,59.9
7004.T,カナデビア,25.0
7011.T,三菱重工業,24.7
7012.T,川崎重工業,161.7
7013.T,ＩＨＩ,19.6
7186.T,横浜ＦＧ,36.8
7201.T,日産自動車,0.0
7202.T,いすゞ自動車,92.8
7203.T,トヨタ自動車,95.8
7205.T,日野自動車,0.0
7211.T,三菱自動車工業,10.0
7261.T,マツダ,55.0
7267.T,本田技研工業,72.1
7269.T,スズキ,46.6
7270.T,ＳＵＢＡＲＵ,117.2
7272.T,ヤマハ発動機,50.0
7453.T,良品計画,29.2
7731.T,ニコン,45.5
7733.T,オリンパス,30.0
7735.T,ＳＣＲＥＥＮ　ＨＬＤＧ,282.5
7741.T,ＨＯＹＡ,280.8
7751.T,キヤノン,164.0
7752.T,リコー,39.9
7832.T,バンダイナムコＨＬＤＧ,85.2
7911.T,ＴＯＰＰＡＮＨＬＤＧ,55.9
7912.T,大日本印刷,40.0
7951.T,ヤマハ,26.2
7974.T,任天堂,199.5
8001.T,伊藤忠商事,48.2
8002.T,丸紅,106.6
8015.T,豊田通商,118.6
8031.T,三井物産,115.0
8035.T,東京エレクトロン,590.0
8053.T,住友商事,140.2
8058.T,三菱商事,110.1
8233.T,高島屋,34.0
8252.T,丸井グループ,131.5
8253.T,クレディセゾン,129.8
8267.T,イオン,13.7
8304.T,あおぞら銀行,89.2
8306.T,三菱ＵＦＪ　ＦＧ,74.9
8308.T,りそなＨＬＤＧ,29.3
8309.T,三井住友トラストグループ,169.7
8316.T,三井住友ＦＧ,158.3
8331.T,千葉銀行,50.5
8354.T,ふくおかＦＧ,174.8
8411.T,みずほＦＧ,147.0
8591.T,オリックス,158.7
8601.T,大和証券グループ本社,59.1
8604.T,野村ＨＬＤＧ,53.5
8630.T,ＳＯＭＰＯ　ＨＬＤＧ,152.1
8697.T,日本取引所グループ,52.1
8725.T,ＭＳ＆ＡＤインシュアランスＨＤ,155.5
8750.T,第一生命ＨＬＤＧ,48.9
8766.T,東京海上ＨＬＤＧ,213.5
8795.T,Ｔ＆Ｄ　ＨＬＤＧ,127.0
8801.T,三井不動産,34.8
8802.T,三菱地所,47.8
8804.T,東京建物,120.8
8830.T,住友不動産,43.0
9001.T,東武鉄道,65.3
9005.T,東急,28.8
9007.T,小田急電鉄,47.3
9008.T,京王電鉄,108.9
9009.T,京成電鉄,21.0
9020.T,東日本旅客鉄道,70.1
9021.T,西日本旅客鉄道,92.1
9022.T,東海旅客鉄道,33.0
9064.T,ヤマトＨＬＤＧ,46.1
9101.T,日本郵船,229.6
9104.T,商船三井,204.4
9107.T,川崎汽船,119.9
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳ,102.6
9201.T,日本航空,98.1
9202.T,ＡＮＡ　ＨＬＤＧ,65.1
9432.T,ＮＴＴ,5.3
9433.T,ＫＤＤＩ,80.5
9434.T,ソフトバンク,8.9
9501.T,東京電力ＨＬＤＧ,0.0
9502.T,中部電力,69.9
9503.T,関西電力,74.9
9531.T,東京瓦斯,101.7
9532.T,大阪瓦斯,120.1
9602.T,東宝,22.6
9735.T,セコム,102.2
9766.T,コナミグループ,204.2
9843.T,ニトリＨＬＤＧ,35.4
9983.T,ファーストリテイリング,539.2
9984.T,ソフトバンクグループ,11.0
