ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,6016.0,6214.2,-3.189,-1643.964,-2460.668,1622.854,2439.559,-95945.0,-146696.6,-106.27,MILD DIP,6512,816.705,3.51,211.0,0.0,4,52,6530.3,7.9,False,False,False,False,False,金融,Insurance - Property & Casualty,—,0,7033.3,5275.0,4220.0,3516.7,False
GPC,Genuine Parts,配当貴族,108.62,125.58,-13.505,-7.234,-11.111,8.274,12.151,116.5,111.6,-6.76,STRONG BUY,11566,3.877,4.77,5.18,4.45,39,72,170.3,36.2,False,False,False,False,False,一般消費財,Auto Parts,—,0,172.8,129.6,103.7,86.4,False
4506.T,住友ファーマ,Nikkei225,1888.5,2329.7,-18.938,-13.207,-20.002,13.975,20.771,2022.0,1863.7,-6.6,BUY ZONE,6512,6.795,0.0,0.0,0.0,0,50,3710.7,49.1,False,False,False,True,False,ヘルスケア,Drug Manufacturers - Specialty & Generic,月足GC,1,0.0,0.0,0.0,0.0,False
PPG,PPG Industries,配当貴族,104.15,121.61,-14.361,-8.658,-13.291,9.875,14.508,111.1,105.5,-6.24,STRONG BUY,11566,4.633,3.35,3.49,3.14,42,60,165.4,37.0,False,False,False,False,False,素材,Specialty Chemicals,—,0,116.3,87.2,69.8,58.2,False
BF-B,Brown-Forman,配当貴族,24.79,28.24,-12.219,-7.831,-12.03,8.968,13.168,26.0,24.8,-4.76,STRONG BUY,11566,4.2,4.61,1.14,4.39,3,72,73.4,66.2,True,False,False,False,False,生活必需品,Beverages - Wineries & Distilleries,半値,1,38.1,28.6,22.9,19.1,False
SWK,Stanley Black & Decker,配当貴族,73.82,84.48,-12.616,-9.901,-15.089,10.851,16.039,76.1,71.7,-3.01,BUY ZONE,11566,5.188,4.48,3.31,4.35,28,60,185.8,60.3,True,False,False,False,False,資本財,Tools & Accessories,半値,1,110.3,82.8,66.2,55.2,False
7733.T,オリンパス,Nikkei225,1349.0,1597.14,-15.537,-12.963,-19.645,13.762,20.443,1390.1,1283.4,-2.96,BUY ZONE,6512,6.681,2.22,30.0,2.16,7,55,3097.5,56.4,True,False,False,False,False,ヘルスケア,Medical Devices,半値,1,1000.0,750.0,600.0,500.0,False
8233.T,高島屋,Nikkei225,1814.0,2093.91,-13.368,-11.165,-16.903,11.789,17.527,1860.1,1740.0,-2.48,BUY ZONE,6512,5.738,1.87,34.0,1.83,3,45,2372.2,23.5,False,False,False,False,False,一般消費財,Department Stores,—,0,1133.3,850.0,680.0,566.7,False
POOL,Pool Corp,配当貴族,208.46,235.99,-11.664,-9.953,-15.423,11.925,17.394,212.5,199.6,-1.9,BUY ZONE,7627,5.469,2.95,6.15,2.89,15,55,548.8,62.0,True,False,False,False,False,資本財,Industrial Distribution,半値,1,205.0,153.8,123.0,102.5,False
MKC,McCormick,配当貴族,61.66,67.96,-9.277,-7.993,-12.248,9.027,13.282,62.5,59.6,-1.39,BUY ZONE,13352,4.255,3.7,2.28,3.65,27,55,95.9,35.7,False,False,False,False,False,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
