ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
8766.T,東京海上HD,Nikkei225,7511.0,6360.16,18.095,-1642.553,-2458.565,1621.493,2437.505,-98108.9,-150008.5,-107.66,NEUTRAL,6523,816.012,2.84,213.5,0.0,4,47,7857.0,4.4,False,False,False,False,False,2.68,False,21.8,4.7,微増,金融,Insurance - Property & Casualty,—,0,7116.7,5337.5,4270.0,3558.3,False
MKC,McCormick,配当貴族,51.58,61.63,-16.304,-8.055,-12.334,9.061,13.341,56.7,54.0,-8.97,STRONG BUY,13363,4.279,4.42,2.28,4.02,27,57,95.9,46.2,False,False,False,False,False,2.41,False,2.9,6.4,微増,生活必需品,Packaged Foods,—,0,76.0,57.0,45.6,38.0,False
SMCI,Super Micro Computer,NASDAQ100,22.21,29.74,-25.325,-20.446,-31.218,22.644,33.416,23.7,20.5,-6.13,BUY ZONE,4755,10.772,0.0,0.0,0.0,0,55,118.8,81.3,True,False,False,False,False,1.9,False,123.4,19.2,増収増益,テクノロジー,Computer Hardware,半値,1,0.0,0.0,0.0,0.0,False
CTAS,Cintas,NASDAQ100,168.85,192.99,-12.507,-8.433,-13.065,10.092,14.724,176.7,167.8,-4.45,BUY ZONE,10710,4.631,1.02,1.72,0.97,39,45,226.1,25.3,False,False,False,False,False,14.1,False,8.9,9.7,増収増益,資本財,Specialty Business Services,—,0,57.3,43.0,34.4,28.7,False
CAG,Conagra Brands,SP500高配当,15.2,17.36,-12.418,-8.355,-12.808,9.458,13.911,15.9,15.1,-4.43,BUY ZONE,11577,4.453,9.21,1.4,8.8,0,75,34.4,55.8,True,False,False,False,True,0.9,True,-6.8,0.0,—,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,46.7,35.0,28.0,23.3,False
SJM,J.M. Smucker,配当貴族,95.11,106.61,-10.788,-7.426,-11.327,8.179,12.08,98.7,94.5,-3.63,BUY ZONE,7879,3.901,4.53,4.31,4.37,16,57,144.7,34.3,False,False,False,False,False,1.94,False,7.0,0.0,—,生活必需品,Packaged Foods,—,0,143.7,107.7,86.2,71.8,False
CLX,Clorox,配当貴族,102.18,114.88,-11.054,-9.06,-13.809,9.938,14.687,104.5,99.0,-2.19,BUY ZONE,13363,4.749,4.9,5.01,4.8,46,57,199.8,48.8,False,False,False,False,False,-98.82,False,-0.8,-16.2,減益,生活必需品,Household & Personal Products,—,0,167.0,125.2,100.2,83.5,False
META,Meta Platforms,NASDAQ100,547.54,631.11,-13.242,-11.981,-18.555,14.313,20.886,555.5,514.0,-1.43,BUY ZONE,3459,6.573,0.4,2.2,0.4,1,50,788.1,30.5,False,False,False,False,False,6.38,False,23.8,10.7,増収増益,通信,Internet Content & Information,—,0,73.3,55.0,44.0,36.7,False
PG,Procter & Gamble,Dow30,142.42,154.13,-7.6,-6.31,-9.72,7.33,10.741,144.4,139.2,-1.38,BUY ZONE,16142,3.41,3.0,4.27,2.96,67,45,173.8,18.1,False,False,False,False,False,6.33,False,1.5,-5.4,減益,生活必需品,Household & Personal Products,—,0,142.3,106.7,85.4,71.2,False
EMR,Emerson Electric,配当貴族,126.31,139.09,-9.188,-7.936,-12.154,8.934,13.151,128.1,122.2,-1.36,BUY ZONE,13543,4.217,2.13,2.69,2.1,66,42,161.1,21.6,False,False,False,False,False,3.5,False,4.1,4.9,微増,資本財,Specialty Industrial Machinery,—,0,89.8,67.4,53.9,44.9,False
VRSK,Verisk Analytics,NASDAQ100,185.75,200.87,-7.529,-6.515,-10.083,7.758,11.326,187.8,180.6,-1.08,BUY ZONE,4118,3.568,1.05,1.95,1.04,6,45,318.8,41.7,False,False,False,False,False,83.18,False,0.0,0.0,—,資本財,Consulting Services,—,0,65.0,48.8,39.0,32.5,False
AMCR,Amcor,SP500高配当,39.87,43.51,-8.369,-7.37,-11.175,7.847,11.651,40.3,38.6,-1.08,BUY ZONE,3462,3.804,6.5,2.59,6.43,0,65,57.5,30.7,False,False,False,False,True,1.58,False,68.1,-32.1,減益,一般消費財,Packaging & Containers,高配当,1,86.3,64.8,51.8,43.2,False
CL,Colgate-Palmolive,配当貴族,84.14,91.5,-8.046,-7.296,-11.205,8.339,12.248,84.8,81.2,-0.81,BUY ZONE,13314,3.909,3.07,2.58,3.04,60,45,105.0,19.9,False,False,False,False,False,1255.82,False,5.8,0.0,—,生活必需品,Household & Personal Products,—,0,86.0,64.5,51.6,43.0,False
8801.T,三井不動産,Nikkei225,1701.0,1924.94,-11.634,-11.156,-16.97,12.103,17.917,1710.2,1598.3,-0.54,BUY ZONE,6523,5.815,2.05,34.8,2.03,4,50,2147.5,20.8,False,False,False,False,False,1.46,False,22.2,22.4,増収増益,不動産,Real Estate - Diversified,—,0,1160.0,870.0,696.0,580.0,False
MMM,3M,Dow30,143.99,154.51,-6.808,-7.276,-11.141,8.181,12.045,143.3,137.3,0.51,MILD DIP,16142,3.864,2.13,3.06,2.14,65,30,173.8,17.2,False,False,False,False,False,16.24,False,2.0,-19.9,減益,資本財,Conglomerates,—,0,102.0,76.5,61.2,51.0,False
7911.T,凸版印刷(注:代替),Nikkei225,4553.0,4992.36,-8.801,-9.327,-14.132,9.89,14.695,4526.7,4286.8,0.58,MILD DIP,6523,4.804,1.23,55.9,1.23,1,35,5823.0,21.8,False,False,False,False,False,0.98,True,0.0,0.0,—,資本財,Conglomerates,PBR1倍割れ,1,1863.3,1397.5,1118.0,931.7,False
4519.T,中外製薬,Nikkei225,8540.0,9390.52,-9.057,-9.642,-14.799,10.985,16.142,8485.1,8000.8,0.65,MILD DIP,6523,5.157,1.54,131.5,1.55,9,35,10455.0,18.3,False,False,False,False,False,6.94,False,14.3,40.2,増収増益,ヘルスケア,Drug Manufacturers - General,—,0,4383.3,3287.5,2630.0,2191.7,False
O,Realty Income,配当貴族,60.27,64.35,-6.342,-6.982,-10.794,8.266,12.078,59.9,57.4,0.69,MILD DIP,7888,3.812,5.81,3.5,5.85,30,47,67.6,10.8,False,False,False,False,False,1.43,False,11.0,41.2,増収増益,不動産,REIT - Retail,—,0,116.7,87.5,70.0,58.4,False
9843.T,ニトリHD,Nikkei225,2640.0,2885.28,-8.501,-9.353,-14.335,10.572,15.553,2615.4,2471.7,0.94,MILD DIP,5788,4.981,1.34,35.4,1.35,21,35,4735.2,44.2,False,False,False,False,False,1.53,False,0.0,0.0,—,一般消費財,"Furnishings, Fixtures & Appliances",—,0,1180.0,885.0,708.0,590.0,False
KDP,Keurig Dr Pepper,NASDAQ100,26.27,28.21,-6.892,-7.917,-12.209,9.252,13.544,26.0,24.8,1.11,MILD DIP,4476,4.292,3.58,0.94,3.62,5,35,36.5,28.0,False,False,False,False,False,1.4,False,10.5,0.0,—,生活必需品,Beverages - Non-Alcoholic,—,0,31.3,23.5,18.8,15.7,False
5707.T,東邦亜鉛,Nikkei225,1213.0,1450.6,-16.379,-17.372,-26.149,17.734,26.511,1198.6,1071.3,1.2,MILD DIP,6523,8.777,0.0,0.0,0.0,0,45,9053.6,86.6,True,False,False,True,False,6.15,False,7.3,0.0,—,素材,Other Industrial Metals & Mining,半値／月足GC,2,0.0,0.0,0.0,0.0,False
ES,Eversource Energy,SP500高配当,67.96,72.32,-6.027,-7.211,-10.988,7.897,11.675,67.1,64.4,1.28,MILD DIP,13363,3.777,4.68,3.18,4.74,26,47,80.2,15.2,False,False,False,False,False,1.58,False,13.4,466.2,増収増益,公益,Utilities - Regulated Electric,—,0,106.0,79.5,63.6,53.0,False
UPS,United Parcel Service,SP500高配当,97.5,104.45,-6.656,-7.866,-11.923,8.36,12.417,96.2,92.0,1.31,MILD DIP,6609,4.057,6.7,6.53,6.79,16,55,190.2,48.7,False,False,False,False,True,5.1,False,-3.2,4.6,—,資本財,Integrated Freight & Logistics,高配当,1,217.7,163.2,130.6,108.8,False
BA,Boeing,Dow30,194.36,216.18,-10.092,-11.44,-17.462,12.648,18.67,191.4,178.4,1.52,MILD DIP,16142,6.022,4.23,8.22,4.29,0,45,430.3,54.8,True,False,False,False,False,27.99,False,57.1,0.0,—,資本財,Aerospace & Defense,半値,1,274.0,205.5,164.4,137.0,False
1803.T,清水建設,Nikkei225,2900.5,3194.94,-9.216,-10.593,-16.179,11.751,17.337,2856.5,2678.0,1.54,MILD DIP,6523,5.586,2.11,61.2,2.14,1,40,3578.0,18.9,False,False,False,False,False,2.19,False,8.5,19.6,増収増益,資本財,Engineering & Construction,—,0,2040.0,1530.0,1224.0,1020.0,False
CHD,Church & Dwight,配当貴族,93.22,99.69,-6.488,-7.936,-12.281,9.442,13.786,91.8,87.4,1.57,MILD DIP,11577,4.344,1.6,1.49,1.62,29,30,111.7,16.6,False,False,False,False,False,5.51,False,3.9,-20.8,減益,生活必需品,Household & Personal Products,—,0,49.6,37.2,29.8,24.8,False
6361.T,荏原製作所,Nikkei225,4465.0,5085.0,-12.193,-13.612,-20.641,14.503,21.532,4392.8,4035.4,1.64,MILD DIP,6523,7.029,1.52,68.0,1.55,5,30,5680.0,21.4,False,False,False,False,False,4.01,False,0.0,0.0,—,資本財,Specialty Industrial Machinery,—,0,2266.7,1700.0,1360.0,1133.3,False
8802.T,三菱地所,Nikkei225,4413.0,4864.68,-9.285,-10.804,-16.405,11.598,17.199,4339.1,4066.6,1.7,MILD DIP,6523,5.601,1.08,47.8,1.1,2,35,5308.0,16.9,False,False,False,False,False,2.11,False,14.8,81.3,増収増益,不動産,Real Estate - Diversified,—,0,1593.3,1195.0,956.0,796.7,False
PEP,PepsiCo,NASDAQ100,150.83,159.46,-5.413,-6.998,-10.782,8.137,11.92,148.3,142.3,1.7,MILD DIP,13543,3.784,3.89,5.86,3.95,51,40,177.2,14.9,False,False,False,False,False,10.1,False,5.6,67.5,増収増益,生活必需品,Beverages - Non-Alcoholic,—,0,195.3,146.5,117.2,97.7,False
GOOGL,Alphabet A,NASDAQ100,280.92,304.17,-7.644,-9.353,-14.584,11.574,16.805,275.7,259.8,1.89,MILD DIP,5411,5.232,0.31,0.86,0.31,1,35,343.4,18.2,False,False,False,False,False,8.18,False,18.0,31.1,増収増益,通信,Internet Content & Information,—,0,28.7,21.5,17.2,14.3,False
AZN,AstraZeneca,NASDAQ100,183.4,195.32,-6.103,-7.853,-12.097,9.127,13.372,180.0,171.7,1.9,MILD DIP,8251,4.245,2.88,5.28,2.94,2,32,208.6,12.1,False,False,False,False,False,5.84,False,4.1,53.9,微増,ヘルスケア,Drug Manufacturers - General,—,0,176.1,132.1,105.7,88.0,False
ABT,Abbott Labs,配当貴族,104.57,110.42,-5.302,-7.07,-10.952,8.455,12.336,102.6,98.3,1.9,MILD DIP,11577,3.881,2.86,2.99,2.91,12,30,137.6,24.0,False,False,False,False,False,3.48,False,4.4,-80.9,減益,ヘルスケア,Medical Devices,—,0,99.7,74.7,59.8,49.8,False
ECL,Ecolab,配当貴族,264.25,282.69,-6.522,-8.33,-12.755,9.373,13.798,259.1,246.6,1.97,MILD DIP,13363,4.426,1.29,3.41,1.32,30,30,307.5,14.1,False,False,False,False,False,11.26,False,17.8,0.0,—,素材,Specialty Chemicals,—,0,113.7,85.2,68.2,56.8,False
GOOG,Alphabet C,NASDAQ100,280.74,303.54,-7.512,-9.348,-14.578,11.57,16.799,275.2,259.3,2.03,MILD DIP,5411,5.229,0.3,0.85,0.31,1,35,344.7,18.5,False,False,False,False,False,8.17,False,18.0,31.1,増収増益,通信,Internet Content & Information,—,0,28.3,21.2,17.0,14.2,False
